Sample in Buffer,Sample in Window,TRIGGER,douta1[127:0],encrypted128[0][127:0],addra[0][6:0],douta2[127:0],encrypted128[1][127:0],addra[1][6:0],reset_1,encrypted128[2][127:0],encrypted128[3][127:0],encrypted128[4][127:0],encrypted128[5][127:0],in[0][127:0],in[1][127:0],in[2][127:0],in[3][127:0],in[4][127:0],in[5][127:0],done
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED,HEX,HEX,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
118,118,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
119,119,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
120,120,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
121,121,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
122,122,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
123,123,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
124,124,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
125,125,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
126,126,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
127,127,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
128,128,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
129,129,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
130,130,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
131,131,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
132,132,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
133,133,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
134,134,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
135,135,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
136,136,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
137,137,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
138,138,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
139,139,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
140,140,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
141,141,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
142,142,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
143,143,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
144,144,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
145,145,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
146,146,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
147,147,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
148,148,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
149,149,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
150,150,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
151,151,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
152,152,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
153,153,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
154,154,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
155,155,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
156,156,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
157,157,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
158,158,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
159,159,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
160,160,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
161,161,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
162,162,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
163,163,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
164,164,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
