Sample in Buffer,Sample in Window,TRIGGER,addra[8:0],encrypted128[127:0],reset_1,decrypted_data
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,Decrypted Data
137,137,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
138,138,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
139,139,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
140,140,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
141,141,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
142,142,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
143,143,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
144,144,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
145,145,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
146,146,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
147,147,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
148,148,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
149,149,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
150,150,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
151,151,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
152,152,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
153,153,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
154,154,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
155,155,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
156,156,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
157,157,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
158,158,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
159,159,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
160,160,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
161,161,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
162,162,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
163,163,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
164,164,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
165,165,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
166,166,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
167,167,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
168,168,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
169,169,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
170,170,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
171,171,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
172,172,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
173,173,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
174,174,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
175,175,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
176,176,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
177,177,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
178,178,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
179,179,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
180,180,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
181,181,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
182,182,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
183,183,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
184,184,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
185,185,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
186,186,0,000,9958fdec8e2d65c80160cfc0e66432fa,1,ffd8ffe000104a464946000101000001
